,bank,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
0,BMO,not any use,1,0,6.20.2,2025-06-30 22:09:09,"Hi Arran, thanks for your review. We're sorry to learn that the BMO Mobile App has not met your expectations. We'd appreciate any additional feedback you can share with us that would help make your mobile banking experience better. Thank you! -Josie",2025-07-02 11:48:06
1,BMO,I tried for 3days to access my account but bmo app is not responding,1,1,6.20.2,2025-06-30 21:01:44,"Hi Norbert, we're sorry to learn of your experience when trying to access your accounts. Please try to uninstall and reinstall the app. If the issue continues, please give us a call at 1-877-225-5266, and an Associate will be happy to help. Thank you! -Josie",2025-07-02 09:18:46
2,BMO,great,5,0,6.20.2,2025-06-30 16:21:41,"Hi there, thank you for your review and rating! We are pleased to learn that you find the BMO Mobile App great. If you have any additional feedback, please feel free to let us know. Have a great day! -Josie",2025-07-02 08:56:59
4,BMO,easy to install. the layout is awesome. no trouble to find what you're looking for,5,1,6.20.2,2025-06-28 17:25:17,Hi Cathy! Thanks for your review and 5-stars! We're glad to hear that the BMO Mobile App meets your needs. Have a great day! -Josie,2025-07-02 08:54:23
5,BMO,convenient fast and reliable,5,1,6.20.2,2025-06-28 14:17:35,"Hi Shanee, thank you so much for your rating and review. We're very happy to hear that you find the app convenient and reliable! Thank you for choosing BMO. Have a great day! -Josie",2025-07-02 08:53:45
6,BMO,easy to use and I can do it anywhere. no waiting in lines.,4,1,6.20.2,2025-06-27 13:30:43,"Hi Rosina, thanks for your review! We're very glad to learn that you find the BMO Mobile App convenient! Please continue to enjoy using it. Have a great day! -Josie",2025-06-28 14:28:51
7,BMO,"BMO is by far the worst app I've ever seen and the bank isn't too far behind them. I pay for etransfers every month and have had multiple etransfers take 15-30 minutes. Then, when I call them (which is an entirely new set of jaw-dropping problems, it took me 5 minutes just to hear the ""OPTION!"" to talk to a person) they lie right to my face and say that sometimes they take that long. Maybe the first couple do, but, I've sent hundreds of etransfers out of this Acct. Get with it BMO, it's 2025!",1,2,6.20.2,2025-06-26 19:43:10,"Hi Kelly, we can appreciate the importance of sending your e-Transfers in a timely manner. Please note that any e-Transfer over $100 can take up to 30 minutes to be received by the recipient. If the amount is under $100 and the delay continues, please contact us at 1-877-225-5266, and we will review. Thank you. -Josie",2025-06-27 14:28:21
8,BMO,I've used BMO for several years now and I like using it. thank you,5,0,6.20.2,2025-06-26 16:22:50,"Hi Doug! Thanks for your review and feedback. We're glad to hear that the BMO Mobile App meets your needs. Thank you for being a part of the BMO Community, and have a great day! -Josie",2025-06-27 13:49:36
9,BMO,"BMO Digital Banking Needs Major Improvements (2025) Your outdated systems and lack of basic features are frustrating: No account alias renaming? E-transfer messages missing on Android? Full transaction details only on desktop? In 2025, these limitations are unacceptable. Modernize your tech and improve customer experience- other banks already have.",1,1,6.20.2,2025-06-25 22:52:25,"Hello Michael, thanks for taking the time to share your feedback. We apologize for any inconveniences this may cause you. Rest assured your feedback will be provided to our development team for review and consideration on future app updates. Thank you! -Josie",2025-06-26 14:32:31
10,BMO,I'd really love to see the available balance in this moment than having to check if there's anything pending.,3,1,6.20.2,2025-06-25 21:20:20,"Hi Jessica, thanks for providing us with your feedback. Please always refer to the Available Credit section, as this will always be updated to the correct balance. Rest assured your feedback will be provided to our development team for review and consideration on future app updates. Thank you! -Josie",2025-06-26 14:30:33
